Date,^SP500TR
2008-01-03,0.0
2008-01-04,-0.024553347780100876
2008-01-07,0.0032332043303007207
2008-01-08,-0.018019960676499358
2008-01-09,0.013700090563595113
2008-01-10,0.007969792091325756
2008-01-11,-0.013537897055941328
2008-01-14,0.010876305433274336
2008-01-15,-0.02491934841725041
2008-01-16,-0.005496372551588968
2008-01-17,-0.029056124133974737
2008-01-18,-0.006021450163973041
2008-01-22,-0.011083738790952813
2008-01-23,0.021464561774578783
2008-01-24,0.010093276872208401
2008-01-25,-0.01586849088250053
2008-01-28,0.01757271536843774
2008-01-29,0.006205937004274187
2008-01-30,-0.004696901339995008
2008-01-31,0.016938752231495657
2008-02-01,0.012237663403274812
2008-02-04,-0.010444590435322865
2008-02-05,-0.03190408010338963
2008-02-06,-0.007220871066276113
2008-02-07,0.00813107990038553
2008-02-08,-0.0041872503645249415
2008-02-11,0.005937324486889883
2008-02-12,0.007311535104982836
2008-02-13,0.013989218558210448
2008-02-14,-0.01338749708682696
2008-02-15,0.0008993456984172088
2008-02-19,-0.0008137829053220802
2008-02-20,0.008393985745016597
2008-02-21,-0.012521332883946079
2008-02-22,0.00798538985997932
2008-02-25,0.013831948088770085
2008-02-26,0.0069257003832927655
2008-02-27,-0.0006799880917954804
2008-02-28,-0.008822961566091969
2008-02-29,-0.027057150926853457
2008-03-03,0.0005530027080953293
2008-03-04,-0.00344030947313001
2008-03-05,0.005737728647646101
2008-03-06,-0.021859629639602862
2008-03-07,-0.008393876833718728
2008-03-10,-0.01542032395837678
2008-03-11,0.037163228109614366
2008-03-12,-0.00871195835022276
2008-03-13,0.005166507075220705
2008-03-14,-0.02075738779818992
2008-03-17,-0.008810567660960889
2008-03-18,0.04243422820341114
2008-03-19,-0.02427179049176842
2008-03-20,0.02393874350127745
2008-03-24,0.015325599176851723
2008-03-25,0.0023091502024745747
2008-03-26,-0.008714473660744293
2008-03-27,-0.011252060761543281
2008-03-28,-0.007906917447601414
2008-03-31,0.005711302802039686
2008-04-01,0.03589314589098547
2008-04-02,-0.0017333987570988807
2008-04-03,0.0013104458997921231
2008-04-04,0.000809263538568139
2008-04-07,0.001571079768481587
2008-04-08,-0.004765653237005063
2008-04-09,-0.00801474024127291
2008-04-10,0.004523353700156774
2008-04-11,-0.020310053959955665
2008-04-14,-0.003366597431991303
2008-04-15,0.004607210553791097
2008-04-16,0.022801887507909457
2008-04-17,0.0006538581707367097
2008-04-18,0.018145717810155615
2008-04-21,-0.0015336845596531923
2008-04-22,-0.008788136155294168
2008-04-23,0.0029062140280793347
2008-04-24,0.006442287574609518
2008-04-25,0.006510387121775318
2008-04-28,-0.0010093834870431584
2008-04-29,-0.0038604178738077533
2008-04-30,-0.003807194536047276
2008-05-01,0.017332399039904356
2008-05-02,0.0032359378001298733
2008-05-05,-0.004442326051856349
2008-05-06,0.007684049221096112
2008-05-07,-0.017703671260055787
2008-05-08,0.003713475110018738
2008-05-09,-0.0065175207162592175
2008-05-12,0.01104920424833633
2008-05-13,-0.00015764412399665861
2008-05-14,0.00417932746373717
2008-05-15,0.010772565248168275
2008-05-16,0.0012778125443797528
2008-05-19,0.0009306303868672483
2008-05-20,-0.009275060990840855
2008-05-21,-0.01598452889093893
2008-05-22,0.0028064829501144306
2008-05-23,-0.013200753096783813
2008-05-27,0.006851578121693125
2008-05-28,0.004156882591768829
2008-05-29,0.005455957059798289
2008-05-30,0.0015258237177635525
2008-06-02,-0.010471030186499863
2008-06-03,-0.005748776722325322
2008-06-04,0.00016498634136796753
2008-06-05,0.019573882060823777
2008-06-06,-0.030776281281977957
2008-06-09,0.0008297820690341684
2008-06-10,-0.0024362837451307184
2008-06-11,-0.016682343664735755
2008-06-12,0.0033524030242984004
2008-06-13,0.015068670369130288
2008-06-16,8.341909163056549e-05
2008-06-17,-0.006763513020271894
2008-06-18,-0.009694065043012734
2008-06-19,0.00401550557249486
2008-06-20,-0.018532591449015756
2008-06-23,5.7333028647077455e-05
2008-06-24,-0.002802501958668824
2008-06-25,0.0058942767673229035
2008-06-26,-0.029069782330643834
2008-06-27,-0.0036878853248815124
2008-06-30,0.0012716096171110358
2008-07-01,0.004031594655434567
2008-07-02,-0.01815009310908955
2008-07-03,0.0011135203793186665
2008-07-07,-0.008369634608599186
2008-07-08,0.01747405340383623
2008-07-09,-0.022671201409834474
2008-07-10,0.006985467052308403
2008-07-11,-0.011010781514145696
2008-07-14,-0.00903062149119771
2008-07-15,-0.010881143237040591
2008-07-16,0.02519366569021808
2008-07-17,0.012044700439163725
2008-07-18,0.0002896449286045044
2008-07-21,-0.0005092764063564514
2008-07-22,0.013512457927158383
2008-07-23,0.004061289113642896
2008-07-24,-0.023100929253988434
2008-07-25,0.004180749866725453
2008-07-28,-0.018604817367322335
2008-07-29,0.023444461346527223
2008-07-30,0.01673970252746071
2008-07-31,-0.012945861293685357
2008-08-01,-0.005574878939573091
2008-08-04,-0.008950884305297113
2008-08-05,0.028817800204685495
2008-08-06,0.003814084764292458
2008-08-07,-0.01783699713565856
2008-08-08,0.023891811196998347
2008-08-11,0.007188031748926349
2008-08-12,-0.012005342761976623
2008-08-13,-0.002588117305454496
2008-08-14,0.005556231950955448
2008-08-15,0.004198888498806674
2008-08-18,-0.015031290278102905
2008-08-19,-0.009227155135031806
2008-08-20,0.006263267788310101
2008-08-21,0.002562625291038456
2008-08-22,0.011448333507846575
2008-08-25,-0.019619503486731804
2008-08-26,0.0036930857543830964
2008-08-27,0.008159162634975736
2008-08-28,0.015000743339338651
2008-08-29,-0.013673740820393854
