Ticker,Name,"ISIN
"
EIX UN Equity,Edison International,US2810201077
AEE UN Equity,Ameren Corp,US0236081024
AEP UN Equity,American Electric Power Co Inc,US0255371017
PRGO UN Equity,Perrigo Co PLC,IE00BGH1M568
SCG UN Equity,SCANA Corp,US80589M1027
TFCF UW Equity,TFCF Corp,US90130A4085
NWS UW Equity,News Corp,US65249B2088
LYB UN Equity,LyondellBasell Industries NV,NL0009434992
AXP UN Equity,American Express Co,US0258161092
VZ UN Equity,Verizon Communications Inc,US92343V1044
AVGO UW Equity,Broadcom Inc,US11135F1012
BA UN Equity,Boeing Co/The,US0970231058
CAT UN Equity,Caterpillar Inc,US1491231015
JPM UN Equity,JPMorgan Chase & Co,US46625H1005
CVX UN Equity,Chevron Corp,US1667641005
KO UN Equity,Coca-Cola Co/The,US1912161007
ABBV UN Equity,AbbVie Inc,US00287Y1091
DIS UN Equity,Walt Disney Co/The,US2546871060
EXR UN Equity,Extra Space Storage Inc,US30225T1025
1715651D UN Equity,EIDP Inc,US2635341090
XOM UN Equity,Exxon Mobil Corp,US30231G1022
PSX UN Equity,Phillips 66,US7185461040
GE UN Equity,General Electric Co,US3696043013
HPQ UN Equity,HP Inc,US40434L1052
HD UN Equity,Home Depot Inc/The,US4370761029
IBM UN Equity,International Business Machines Corp,US4592001014
CXO UN Equity,Concho Resources Inc,US20605P1012
JNJ UN Equity,Johnson & Johnson,US4781601046
MCD UN Equity,McDonald's Corp,US5801351017
MRK UN Equity,Merck & Co Inc,US58933Y1055
MMM UN Equity,3M Co,US88579Y1010
AWK UN Equity,American Water Works Co Inc,US0304201033
BAC UN Equity,Bank of America Corp,US0605051046
CSRA UN Equity,CSRA Inc,US12650T1043
PFE UN Equity,Pfizer Inc,US7170811035
PG UN Equity,Procter & Gamble Co/The,US7427181091
T UN Equity,AT&T Inc,US00206R1023
TRV UN Equity,Travelers Cos Inc/The,US89417E1091
RTX UN Equity,RTX Corp,US75513E1010
WMT UN Equity,Walmart Inc,US9311421039
CSCO UW Equity,Cisco Systems Inc,US17275R1023
INTC UW Equity,Intel Corp,US4581401001
GM UN Equity,General Motors Co,US37045V1008
MSFT UW Equity,Microsoft Corp,US5949181045
DG UN Equity,Dollar General Corp,US2566771059
CI UN Equity,Cigna Group/The,US1255231003
KMI UN Equity,Kinder Morgan Inc,US49456B1017
C UN Equity,Citigroup Inc,US1729674242
AIG UN Equity,American International Group Inc,US0268747849
HON UN Equity,Honeywell International Inc,US4385161066
MO UN Equity,Altria Group Inc,US02209S1033
HCA UN Equity,HCA Healthcare Inc,US40412C1018
UAA UN Equity,Under Armour Inc,US9043111072
IP UN Equity,International Paper Co,US4601461035
HPE UN Equity,Hewlett Packard Enterprise Co,US42824C1099
AFL UN Equity,Aflac Inc,US0010551028
APD UN Equity,Air Products and Chemicals Inc,US0091581068
RCL UN Equity,Royal Caribbean Cruises Ltd,LR0008862868
HES UN Equity,Hess Corp,US42809H1077
APC UN Equity,Anadarko Petroleum Corp,US0325111070
ADM UN Equity,Archer-Daniels-Midland Co,US0394831020
ADP UW Equity,Automatic Data Processing Inc,US0530151036
VRSK UW Equity,Verisk Analytics Inc,US92345Y1064
AZO UN Equity,AutoZone Inc,US0533321024
