permno
10104
10107
10138
10145
10516
10696
10909
11308
11403
11404
11600
11618
11674
11762
11786
11850
11891
11896
11955
12052
12060
12062
12073
12308
12345
12369
12431
12448
12449
12490
12542
12558
12622
12623
12650
12872
12981
13035
13103
13142
13356
13407
13447
13586
13641
13721
13760
13788
13856
13901
13911
13928
13936
13949
13963
13964
13983
14008
14277
14295
14297
14338
14541
14542
14593
14702
14704
14714
14776
14889
14939
15069
15202
15408
15488
15579
15707
15720
15980
16087
16431
16538
16600
16678
16851
17005
17144
17478
17743
17750
17830
18143
18163
18411
18420
18421
18428
18542
18592
18724
18729
19166
19350
19393
19502
19561
19583
20482
21020
21178
21186
21207
21371
21573
21776
21792
21936
22103
22111
22293
22509
22517
22592
22752
22779
23026
23229
23393
23473
23536
23579
23660
23712
23819
23931
24010
24053
24109
24205
24643
24766
24942
24985
25081
25232
25320
25419
25582
25785
25953
26403
26710
26825
27043
27828
27887
27959
27983
27991
28222
28388
28484
28804
29946
30681
30940
32707
32803
32870
32986
34032
34746
34817
34833
35044
35554
36003
36468
37584
38093
38156
38703
38762
39490
39642
39917
40125
40272
40539
41080
41355
42200
42585
42877
42906
43350
43449
43553
44206
44329
44601
44644
45356
45751
45911
46578
46674
46703
46886
47896
48486
48506
48653
48725
49015
49154
49373
49656
49680
50876
52038
52090
52230
52329
52476
52695
52708
52978
53065
53613
54148
55976
56274
56573
57568
57665
57817
57904
58246
58413
58683
58819
59010
59176
59248
59300
59328
59408
59459
60097
60206
60442
60506
60599
60628
60871
60943
60986
61241
61399
61621
61735
61815
62092
62148
62308
64186
64282
64311
64390
64653
64936
64995
65402
65541
65875
65947
66093
66157
66181
66384
66800
67598
69032
69550
69649
69796
70033
70519
70578
71175
71563
72726
73139
75034
75100
75107
75154
75186
75241
75341
75510
75591
75607
75819
75825
75828
76076
76082
76095
76201
76226
76605
76614
76709
76712
76744
76795
76841
77037
77129
77178
77182
77274
77338
77357
77462
77496
77605
77606
77649
77661
77702
77730
78916
78975
78987
79057
79103
79145
79265
79323
79545
79547
79637
79678
79698
79782
79785
79906
80080
80100
80183
80191
80204
80286
80320
80381
80681
80711
81045
81055
81061
81481
81540
81655
81677
81696
81736
81774
82303
82307
82581
82598
82642
82651
82686
82775
83111
83143
83443
83621
83862
84032
84129
84373
84381
84761
84767
84769
84788
85035
85058
85072
85257
85265
85269
85348
85459
85592
85621
85631
85663
85753
85792
85913
85914
85926
86111
86136
86158
86228
86339
86356
86580
86783
86868
86964
86979
86996
87055
87137
87267
87299
87432
87447
87541
87657
87717
87842
88031
88352
88446
88661
88664
88837
88860
88873
89002
89003
89006
89017
89070
89071
89179
89195
89217
89258
89269
89393
89508
89509
89525
89533
89617
89626
89641
89866
90038
90071
90199
90215
90272
90305
90319
90373
90386
90454
90505
90520
90601
90805
90808
90829
90880
90979
90993
91041
91068
91103
91152
91233
91416
91461
91547
91556
91668
91849
91926
91937
92121
92157
92239
92322
92402
92602
92611
92614
92655
92778
93002
93089
93096
93132
93429
