Ticker,Name
AVGO UW Equity,Broadcom Inc
BA UN Equity,Boeing Co/The
SOLV UN Equity,Solventum Corp
CAT UN Equity,Caterpillar Inc
JPM UN Equity,JPMorgan Chase & Co
KO UN Equity,Coca-Cola Co/The
ABBV UN Equity,AbbVie Inc
DIS UN Equity,Walt Disney Co/The
XOM UN Equity,Exxon Mobil Corp
GE UN Equity,General Electric Co
HPQ UN Equity,HP Inc
HD UN Equity,Home Depot Inc/The
MPWR UW Equity,Monolithic Power Systems Inc
JNJ UN Equity,Johnson & Johnson
LULU UW Equity,Lululemon Athletica Inc
MMM UN Equity,3M Co
BAC UN Equity,Bank of America Corp
PG UN Equity,Procter & Gamble Co/The
T UN Equity,AT&T Inc
TRV UN Equity,Travelers Cos Inc/The
RTX UN Equity,RTX Corp
ADI UW Equity,Analog Devices Inc
WMT UN Equity,Walmart Inc
CSCO UW Equity,Cisco Systems Inc
INTC UW Equity,Intel Corp
GM UN Equity,General Motors Co
MSFT UW Equity,Microsoft Corp
DG UN Equity,Dollar General Corp
CI UN Equity,Cigna Group/The
KMI UN Equity,Kinder Morgan Inc
C UN Equity,Citigroup Inc
AIG UN Equity,American International Group Inc
HCA UN Equity,HCA Healthcare Inc
IP UN Equity,International Paper Co
HPE UN Equity,Hewlett Packard Enterprise Co
AFL UN Equity,Aflac Inc
APD UN Equity,Air Products and Chemicals Inc
RCL UN Equity,Royal Caribbean Cruises Ltd
LII UN Equity,Lennox International Inc
ADM UN Equity,Archer-Daniels-Midland Co
ADP UW Equity,Automatic Data Processing Inc
AZO UN Equity,AutoZone Inc
ENPH UQ Equity,Enphase Energy Inc
MSCI UN Equity,MSCI Inc
DAY UN Equity,Dayforce Inc
CARR UN Equity,Carrier Global Corp
BK UN Equity,Bank of New York Mellon Corp/The
OTIS UN Equity,Otis Worldwide Corp
BDX UN Equity,Becton Dickinson & Co
BBY UN Equity,Best Buy Co Inc
BMY UN Equity,Bristol-Myers Squibb Co
BF/B UN Equity,Brown-Forman Corp
CTRA UN Equity,Coterra Energy Inc
HLT UN Equity,Hilton Worldwide Holdings Inc
CCL UN Equity,Carnival Corp
UDR UN Equity,UDR Inc
CLX UN Equity,Clorox Co/The
PAYC UN Equity,Paycom Software Inc
CMS UN Equity,CMS Energy Corp
CL UN Equity,Colgate-Palmolive Co
CAG UN Equity,Conagra Brands Inc
ED UN Equity,Consolidated Edison Inc
GLW UN Equity,Corning Inc
GDDY UN Equity,GoDaddy Inc
CMI UN Equity,Cummins Inc
DHR UN Equity,Danaher Corp
TGT UN Equity,Target Corp
DE UN Equity,Deere & Co
DOV UN Equity,Dover Corp
DUK UN Equity,Duke Energy Corp
REG UW Equity,Regency Centers Corp
DELL UN Equity,Dell Technologies Inc
EMR UN Equity,Emerson Electric Co
EFX UN Equity,Equifax Inc
IQV UN Equity,IQVIA Holdings Inc
IT UN Equity,Gartner Inc
FDX UN Equity,FedEx Corp
FMC UN Equity,FMC Corp
BRO UN Equity,Brown & Brown Inc
F UN Equity,Ford Motor Co
BEN UN Equity,Franklin Resources Inc
FCX UN Equity,Freeport-McMoRan Inc
DXCM UW Equity,Dexcom Inc
GD UN Equity,General Dynamics Corp
GIS UN Equity,General Mills Inc
ATO UN Equity,Atmos Energy Corp
HAL UN Equity,Halliburton Co
LHX UN Equity,L3Harris Technologies Inc
DOC UN Equity,Healthpeak Properties Inc
FTV UN Equity,Fortive Corp
SYF UN Equity,Synchrony Financial
HRL UN Equity,Hormel Foods Corp
AJG UN Equity,Arthur J Gallagher & Co
MDLZ UW Equity,Mondelez International Inc
HUM UN Equity,Humana Inc
WTW UW Equity,Willis Towers Watson PLC
ITW UN Equity,Illinois Tool Works Inc
TT UN Equity,Trane Technologies PLC
IPG UN Equity,Interpublic Group of Cos Inc/The
GNRC UN Equity,Generac Holdings Inc
BR UN Equity,Broadridge Financial Solutions Inc
KMB UN Equity,Kimberly-Clark Corp
KIM UN Equity,Kimco Realty Corp
ORCL UN Equity,Oracle Corp
KR UN Equity,Kroger Co/The
LEN UN Equity,Lennar Corp
CHTR UW Equity,Charter Communications Inc
L UN Equity,Loews Corp
