Ticker,Name,"ISIN
"
WEC UN Equity,WEC Energy Group Inc,US92939U1060
NWS UW Equity,News Corp,US65249B2088
LYB UN Equity,LyondellBasell Industries NV,NL0009434992
AXP UN Equity,American Express Co,US0258161092
VZ UN Equity,Verizon Communications Inc,US92343V1044
AVGO UW Equity,Broadcom Inc,US11135F1012
BA UN Equity,Boeing Co/The,US0970231058
CAT UN Equity,Caterpillar Inc,US1491231015
JPM UN Equity,JPMorgan Chase & Co,US46625H1005
CVX UN Equity,Chevron Corp,US1667641005
KO UN Equity,Coca-Cola Co/The,US1912161007
ABBV UN Equity,AbbVie Inc,US00287Y1091
DIS UN Equity,Walt Disney Co/The,US2546871060
EXR UN Equity,Extra Space Storage Inc,US30225T1025
CPAY UN Equity,Corpay Inc,US2199481068
XOM UN Equity,Exxon Mobil Corp,US30231G1022
PSX UN Equity,Phillips 66,US7185461040
GE UN Equity,General Electric Co,US3696043013
HPQ UN Equity,HP Inc,US40434L1052
HD UN Equity,Home Depot Inc/The,US4370761029
IBM UN Equity,International Business Machines Corp,US4592001014
JNJ UN Equity,Johnson & Johnson,US4781601046
MCD UN Equity,McDonald's Corp,US5801351017
MRK UN Equity,Merck & Co Inc,US58933Y1055
MMM UN Equity,3M Co,US88579Y1010
AWK UN Equity,American Water Works Co Inc,US0304201033
BAC UN Equity,Bank of America Corp,US0605051046
BKR UN Equity,Baker Hughes Co,US05722G1004
PFE UN Equity,Pfizer Inc,US7170811035
PG UN Equity,Procter & Gamble Co/The,US7427181091
T UN Equity,AT&T Inc,US00206R1023
TRV UN Equity,Travelers Cos Inc/The,US89417E1091
RTX UN Equity,RTX Corp,US75513E1010
ADI UW Equity,Analog Devices Inc,US0326541051
WMT UN Equity,Walmart Inc,US9311421039
CSCO UW Equity,Cisco Systems Inc,US17275R1023
INTC UW Equity,Intel Corp,US4581401001
GM UN Equity,General Motors Co,US37045V1008
MSFT UW Equity,Microsoft Corp,US5949181045
DG UN Equity,Dollar General Corp,US2566771059
CI UN Equity,Cigna Group/The,US1255231003
KMI UN Equity,Kinder Morgan Inc,US49456B1017
C UN Equity,Citigroup Inc,US1729674242
AIG UN Equity,American International Group Inc,US0268747849
HON UN Equity,Honeywell International Inc,US4385161066
MO UN Equity,Altria Group Inc,US02209S1033
HCA UN Equity,HCA Healthcare Inc,US40412C1018
UAA UN Equity,Under Armour Inc,US9043111072
IP UN Equity,International Paper Co,US4601461035
HPE UN Equity,Hewlett Packard Enterprise Co,US42824C1099
ABT UN Equity,Abbott Laboratories,US0028241000
AFL UN Equity,Aflac Inc,US0010551028
APD UN Equity,Air Products and Chemicals Inc,US0091581068
HES UN Equity,Hess Corp,US42809H1077
ADM UN Equity,Archer-Daniels-Midland Co,US0394831020
ADP UW Equity,Automatic Data Processing Inc,US0530151036
VRSK UW Equity,Verisk Analytics Inc,US92345Y1064
AZO UN Equity,AutoZone Inc,US0533321024
AVY UN Equity,Avery Dennison Corp,US0536111091
MSCI UN Equity,MSCI Inc,US55354G1004
BALL UN Equity,Ball Corp,US0584981064
CARR UN Equity,Carrier Global Corp,US14448C1045
BK UN Equity,Bank of New York Mellon Corp/The,US0640581007
